Unnamed..0,compound,data,start,stop,area,area_linkpoint,RNAi,Gene,Vial,Total,ratio,ng_uL,ng
855,ethyl dodecanoate,GFP1_12132022_65.mzXML,7.706330409,7.811176901,5916981,5906702.45,GFP,1,65,GFP,0.084454478,0.422272392,29.55906742
953,isopropyl dodecanoate,GFP1_12132022_65.mzXML,7.836140351,7.926008772,1136872,1128913.153,GFP,1,65,GFP,0.016226845,0.081134223,5.67939564
1051,C18,GFP1_12132022_65.mzXML,8.570065789,8.64994883,70061187,70036667.47,GFP,1,65,GFP,1,5,350
77,pBQ,GFP1_12132022_62.mzXML,4.045,4.085,7079563,7042540.84,GFP,1,62,GFP,0.538124114,2.690620571,188.34344
175,meBQ,GFP1_12132022_62.mzXML,4.685,4.75,38418289,38399520.11,GFP,1,62,GFP,2.920209586,14.60104793,1022.073355
273,C11:1,GFP1_12132022_62.mzXML,5.12,5.16,2694965,2681796.62,GFP,1,62,GFP,0.03798558,0.1899279,13.29495302
371,C11,GFP1_12132022_62.mzXML,5.165,5.26,621566978,621468002.9,GFP,1,62,GFP,8.760997715,43.80498858,3066.3492
469,dimeBQ,GFP1_12132022_62.mzXML,5.295,5.37,13156004,13127608.3,GFP,1,62,GFP,1,5,350
567,memeOBQ,GFP1_12132022_62.mzXML,5.705,5.795,18355981,18328941.16,GFP,1,62,GFP,1.395255049,6.976275243,488.339267
665,ethyl decanoate,GFP1_12132022_62.mzXML,6.78,6.86,225829559,225685112.5,GFP,1,62,GFP,3.183071689,15.91535844,1114.075091
763,isopropyl decanoate,GFP1_12132022_62.mzXML,6.935,7.015,3432813,3403386.085,GFP,1,62,GFP,0.048385561,0.241927804,16.93494631
861,ethyl dodecanoate,GFP1_12132022_62.mzXML,7.71,7.815,18293310,18280360.98,GFP,1,62,GFP,0.257844533,1.289222665,90.24558652
959,isopropyl dodecanoate,GFP1_12132022_62.mzXML,7.84,7.93,487901,479096.56,GFP,1,62,GFP,0.006876973,0.034384867,2.406940674
1057,C18,GFP1_12132022_62.mzXML,8.575,8.655,70947054,70904707.26,GFP,1,62,GFP,1,5,350
86,pBQ,GFP1_12132022_64.mzXML,4.046688596,4.086630117,13073624,13007387.06,GFP,1,64,GFP,0.907729118,4.538645592,317.7051915
184,meBQ,GFP1_12132022_64.mzXML,4.685752924,4.750657895,89770546,89745450.37,GFP,1,64,GFP,6.23295718,31.1647859,2181.535013
282,C11:1,GFP1_12132022_64.mzXML,5.120116959,5.16005848,4887716,4869536.073,GFP,1,64,GFP,0.062082173,0.310410864,21.72876051
380,C11,GFP1_12132022_64.mzXML,5.16505117,5.259912281,763649936,763534225.8,GFP,1,64,GFP,9.699632171,48.49816085,3394.87126
478,dimeBQ,GFP1_12132022_64.mzXML,5.294861111,5.369751462,14402561,14374804.18,GFP,1,64,GFP,1,5,350
576,memeOBQ,GFP1_12132022_64.mzXML,5.704261696,5.794130117,28078541,28058614.83,GFP,1,64,GFP,1.949551958,9.747759791,682.3431854
674,ethyl decanoate,GFP1_12132022_64.mzXML,6.777690058,6.857573099,344570863,344501835.3,GFP,1,64,GFP,4.376626606,21.88313303,1531.819312
772,isopropyl decanoate,GFP1_12132022_64.mzXML,6.93246345,7.012346491,6120701,6071347.963,GFP,1,64,GFP,0.077743146,0.388715729,27.21010104
870,ethyl dodecanoate,GFP1_12132022_64.mzXML,7.706330409,7.811176901,16500937,16487825.5,GFP,1,64,GFP,0.209589515,1.047947573,73.35633009
968,isopropyl dodecanoate,GFP1_12132022_64.mzXML,7.836140351,7.926008772,557666,547162.89,GFP,1,64,GFP,0.007083291,0.035416457,2.479152013
1066,C18,GFP1_12132022_64.mzXML,8.570065789,8.64994883,78729783,78703717.56,GFP,1,64,GFP,1,5,350
5,pBQ,RNAi3_12132022_70.mzXML,4.045,4.085,2198679,2180695.965,RNAi,3,70,RNAi 3,0.163509885,0.817549425,57.22845978
103,meBQ,RNAi3_12132022_70.mzXML,4.685,4.75,19006890,18994953.74,RNAi,3,70,RNAi 3,1.413491647,7.067458233,494.7220763
201,C11:1,RNAi3_12132022_70.mzXML,5.12,5.16,1184613,1176488.325,RNAi,3,70,RNAi 3,0.018814069,0.094070347,6.584924302
299,C11,RNAi3_12132022_70.mzXML,5.165,5.26,380646835,380611821.2,RNAi,3,70,RNAi 3,6.04544774,30.2272387,2115.906709
397,dimeBQ,RNAi3_12132022_70.mzXML,5.295,5.37,13446765,13419329.25,RNAi,3,70,RNAi 3,1,5,350
495,memeOBQ,RNAi3_12132022_70.mzXML,5.705,5.795,30717252,30689273.04,RNAi,3,70,RNAi 3,2.284359993,11.42179996,799.5259975
593,ethyl decanoate,RNAi3_12132022_70.mzXML,6.78,6.86,109474827,109419650.7,RNAi,3,70,RNAi 3,1.738683432,8.69341716,608.5392012
691,isopropyl decanoate,RNAi3_12132022_70.mzXML,6.935,7.015,19225553,19203181.84,RNAi,3,70,RNAi 3,0.305340976,1.526704878,106.8693414
789,ethyl dodecanoate,RNAi3_12132022_70.mzXML,7.71,7.815,5021791,5011168.765,RNAi,3,70,RNAi 3,0.079756279,0.398781393,27.91469754
887,isopropyl dodecanoate,RNAi3_12132022_70.mzXML,7.84,7.93,1001147,992651.24,RNAi,3,70,RNAi 3,0.015900255,0.079501277,5.565089367
985,C18,RNAi3_12132022_70.mzXML,8.575,8.655,62964209,62926166.8,RNAi,3,70,RNAi 3,1,5,350
7,pBQ,RNAi3_12132022_72.mzXML,4.045,4.085,1031000,1009508.075,RNAi,3,72,RNAi 3,0.065746924,0.32873462,23.01142338
