TrinityID	GeneID	GEP_id	Dcor_v3_gene_id	DEO
TRINITY_GG_365_c86_g1	Dcor_evm.model.ctg24_len_2556950.304	GEP17	Dcor_evm.model.hic_scaffold_2_pilon.366	Dcor_evm.model.hic_scaffold_2_pilon.366
TRINITY_GG_365_c86_g1	Dcor_evm.model.ctg24_len_2556950.304	GEP9	Dcor_evm.model.hic_scaffold_2_pilon.366	Dcor_evm.model.hic_scaffold_2_pilon.366
TRINITY_GG_365_c199_g1	Dcor_evm.model.ctg24_len_2556950.15	GEP9	Dcor_evm.model.hic_scaffold_2_pilon.39	Dcor_evm.model.hic_scaffold_2_pilon.39
TRINITY_GG_1114_c107_g1	Dcor_evm.model.ctg12_len_6330523.99	GEP17	Dcor_evm.model.hic_scaffold_2_pilon.423	Dcor_evm.model.hic_scaffold_2_pilon.423
TRINITY_GG_365_c61_g1	Dcor_evm.model.ctg24_len_2556950.19	GEP9	Dcor_evm.model.hic_scaffold_2_pilon.43	Dcor_evm.model.hic_scaffold_2_pilon.43
TRINITY_GG_1114_c12_g1	Dcor_evm.model.ctg12_len_6330523.11	GEP17	Dcor_evm.model.hic_scaffold_2_pilon.459	Dcor_evm.model.hic_scaffold_2_pilon.459
TRINITY_GG_1114_c0_g1	Dcor_evm.model.ctg12_len_6330523.379	GEP9	Dcor_evm.model.hic_scaffold_2_pilon.478	Dcor_evm.model.hic_scaffold_2_pilon.478
TRINITY_GG_1114_c97_g1	Dcor_evm.model.ctg12_len_6330523.361	GEP9	Dcor_evm.model.hic_scaffold_2_pilon.496	Dcor_evm.model.hic_scaffold_2_pilon.496
TRINITY_GG_1114_c28_g1	Dcor_evm.model.ctg12_len_6330523.333	GEP17	Dcor_evm.model.hic_scaffold_2_pilon.523	Dcor_evm.model.hic_scaffold_2_pilon.523
TRINITY_GG_1114_c66_g1	Dcor_evm.model.ctg12_len_6330523.319	GEP9	Dcor_evm.model.hic_scaffold_2_pilon.538	Dcor_evm.model.hic_scaffold_2_pilon.538
TRINITY_GG_1114_c33_g1	Dcor_evm.model.ctg12_len_6330523.87	GEP9	Dcor_evm.model.hic_scaffold_2_pilon.550	NA
TRINITY_GG_1114_c87_g1	Dcor_evm.model.ctg12_len_6330523.67	GEP17	Dcor_evm.model.hic_scaffold_2_pilon.571	Dcor_evm.model.hic_scaffold_2_pilon.571
TRINITY_GG_1114_c2253_g1	Dcor_evm.model.ctg12_len_6330523.65	GEP17	Dcor_evm.model.hic_scaffold_2_pilon.573	Dcor_evm.model.hic_scaffold_2_pilon.573
TRINITY_GG_1114_c227_g1	Dcor_evm.model.ctg12_len_6330523.52	GEP9	Dcor_evm.model.hic_scaffold_2_pilon.585	Dcor_evm.model.hic_scaffold_2_pilon.585
TRINITY_GG_365_c36_g1	Dcor_evm.model.ctg24_len_2556950.36	GEP9	Dcor_evm.model.hic_scaffold_2_pilon.60	Dcor_evm.model.hic_scaffold_2_pilon.60
TRINITY_GG_934_c9_g1	Dcor_evm.model.scaffold36_size190523.34	GEP9	Dcor_evm.model.hic_scaffold_2_pilon.634	Dcor_evm.model.hic_scaffold_2_pilon.634
TRINITY_GG_934_c1_g1	Dcor_evm.model.scaffold36_size190523.36	GEP9	Dcor_evm.model.hic_scaffold_2_pilon.636	Dcor_evm.model.hic_scaffold_2_pilon.636
TRINITY_GG_934_c15_g1	Dcor_evm.model.scaffold36_size190523.38	GEP17	Dcor_evm.model.hic_scaffold_2_pilon.638	NA
TRINITY_GG_1199_c1_g1	Dcor_evm.model.scaffold178_size41735.11	GEP17	Dcor_evm.model.hic_scaffold_2_pilon.670	Dcor_evm.model.hic_scaffold_2_pilon.670
TRINITY_GG_1031_c0_g1	Dcor_evm.model.scaffold199_size74056.4	GEP17	Dcor_evm.model.hic_scaffold_2_pilon.679	NA
